MaNV,TaiKhoan,HoTenNV,DiaChiNV,NgaySinhNV,EmailNV,SDT_NV,LoaiNV
NV1,TK72090007,Pham Hue,2/72A,6/21/1972,n6887@gmail.com,517151555,QL
NV2,TK48398420,Duong Kim,10/45C,11/29/1998,b9510@gmail.com,261482473,BH
NV3,TK11367295,Vo Cuc,10/14F,6/18/1976,d1402@gmail.com,601606839,BH
NV4,TK85603051,Tran Phuoc,4/56G,8/23/1981,m2496@gmail.com,820820555,NS
NV5,TK71021007,Pham Huyen,9/86E,7/8/2000,d5884@gmail.com,572635870,NS
NV6,TK79580283,Phan Luan,8/74D,10/9/1990,k5329@gmail.com,455417949,NS
NV7,TK66354866,Vu Bich,4/63F,5/14/2000,e7110@gmail.com,196900806,NS
NV8,TK97448442,Duong Hoang,9/55C,6/7/1993,c5445@gmail.com,327394991,QL
NV9,TK27763519,Hoang Linh,1/55F,12/17/1979,i5109@gmail.com,927872415,QT
NV10,TK80373747,Huynh Luan,4/36D,3/22/1989,b9718@gmail.com,761542456,NS
NV11,TK35098808,Huynh Nga,3/98H,8/25/1974,m9761@gmail.com,879142945,BH
NV12,TK6167477,Ly Phuc,9/38A,7/12/1996,m7193@gmail.com,498059901,QT
NV13,TK52052614,Ly Chau,5/80C,8/11/2002,i5465@gmail.com,654441117,NS
NV14,TK64283676,Ho Long,5/88C,3/15/1981,f6024@gmail.com,477231965,NS
NV15,TK85611624,Ngo Ly,8/93F,11/7/1981,d5625@gmail.com,768240986,BH
NV16,TK77435609,Đo Danh,3/64F,3/14/1985,l5575@gmail.com,347116086,QT
NV17,TK97657928,Bui Phuong,10/35C,5/24/2002,l9460@gmail.com,167526098,QL
NV18,TK83348245,Hoang Dien,6/51C,5/25/1976,l4127@gmail.com,256990975,QL
NV19,TK551150,Đang Ly,5/74D,8/5/1999,g5654@gmail.com,572873855,QT
NV20,TK24344114,Ly Kim,10/93D,11/11/1978,l9780@gmail.com,338041961,QL
